URL : https://github.com/mathieusaade/universal-wiki-converter

Tag : 4.0.0

Analysis date : 13/09/2016 15:00

Eclipse version : Luna 4.4.1

Summary (# items / category)
*  231    Potential Porgramming Problems
*   20    Name Shadowing and Conflicts
* 1335    Code Style
*   82    Deprecation
*  711    Type Safety and Raw Types
*  909    Unnecessary Code

Category : Potential Programming Problems
    Description	Resource	Path	Location	Type
    The enum constant CURRENT_TAB needs a corresponding case label in this enum switch on UWCUserSettings.Setting	UWCUserSettings.java	/uwc/src/main/java/com/atlassian/uwc/ui	line 681	Java Problem
    The enum constant FEEDBACK_OPTION needs a corresponding case label in this enum switch on UWCUserSettings.Setting	UWCUserSettings.java	/uwc/src/main/java/com/atlassian/uwc/ui	line 681	Java Problem
    The enum constant LOGIN needs a corresponding case label in this enum switch on UWCUserSettings.Setting	UWCUserSettings.java	/uwc/src/main/java/com/atlassian/uwc/ui	line 681	Java Problem
    The enum constant PAGE_CHOOSER_DIR needs a corresponding case label in this enum switch on UWCUserSettings.Setting	UWCUserSettings.java	/uwc/src/main/java/com/atlassian/uwc/ui	line 681	Java Problem
    The enum constant PAGES needs a corresponding case label in this enum switch on UWCUserSettings.Setting	UWCUserSettings.java	/uwc/src/main/java/com/atlassian/uwc/ui	line 681	Java Problem
    The enum constant PASSWORD needs a corresponding case label in this enum switch on UWCUserSettings.Setting	UWCUserSettings.java	/uwc/src/main/java/com/atlassian/uwc/ui	line 681	Java Problem
    The enum constant PATTERN needs a corresponding case label in this enum switch on UWCUserSettings.Setting	UWCUserSettings.java	/uwc/src/main/java/com/atlassian/uwc/ui	line 681	Java Problem
    The enum constant SEND_TO_CONFLUENCE needs a corresponding case label in this enum switch on UWCUserSettings.Setting	UWCUserSettings.java	/uwc/src/main/java/com/atlassian/uwc/ui	line 681	Java Problem
    The enum constant SPACE needs a corresponding case label in this enum switch on UWCUserSettings.Setting	UWCUserSettings.java	/uwc/src/main/java/com/atlassian/uwc/ui	line 681	Java Problem
    The enum constant TRUSTALL needs a corresponding case label in this enum switch on UWCUserSettings.Setting	UWCUserSettings.java	/uwc/src/main/java/com/atlassian/uwc/ui	line 573	Java Problem
    The enum constant TRUSTALL needs a corresponding case label in this enum switch on UWCUserSettings.Setting	UWCUserSettings.java	/uwc/src/main/java/com/atlassian/uwc/ui	line 624	Java Problem
    The enum constant TRUSTALL needs a corresponding case label in this enum switch on UWCUserSettings.Setting	UWCUserSettings.java	/uwc/src/main/java/com/atlassian/uwc/ui	line 681	Java Problem
    The enum constant TRUSTPASS needs a corresponding case label in this enum switch on UWCUserSettings.Setting	UWCUserSettings.java	/uwc/src/main/java/com/atlassian/uwc/ui	line 573	Java Problem
    The enum constant TRUSTPASS needs a corresponding case label in this enum switch on UWCUserSettings.Setting	UWCUserSettings.java	/uwc/src/main/java/com/atlassian/uwc/ui	line 624	Java Problem
    The enum constant TRUSTPASS needs a corresponding case label in this enum switch on UWCUserSettings.Setting	UWCUserSettings.java	/uwc/src/main/java/com/atlassian/uwc/ui	line 681	Java Problem
    The enum constant TRUSTSTORE needs a corresponding case label in this enum switch on UWCUserSettings.Setting	UWCUserSettings.java	/uwc/src/main/java/com/atlassian/uwc/ui	line 573	Java Problem
    The enum constant TRUSTSTORE needs a corresponding case label in this enum switch on UWCUserSettings.Setting	UWCUserSettings.java	/uwc/src/main/java/com/atlassian/uwc/ui	line 624	Java Problem
    The enum constant TRUSTSTORE needs a corresponding case label in this enum switch on UWCUserSettings.Setting	UWCUserSettings.java	/uwc/src/main/java/com/atlassian/uwc/ui	line 681	Java Problem
    The enum constant UPLOAD_ORPHAN_ATTACHMENTS needs a corresponding case label in this enum switch on UWCUserSettings.Setting	UWCUserSettings.java	/uwc/src/main/java/com/atlassian/uwc/ui	line 681	Java Problem
